Time [das],Tension [g],Steps
994.0966001,540,100
994.1935,540,100
994.2875001,540,100
994.3806002,540,100
994.4745002,540,100
994.5694001,540,100
994.6694002,540,100
994.7665,540,100
994.8587,540,100
994.9954002,540,100
995.0894001,540,100
995.1834002,540,100
995.2814002,540,100
995.3754001,540,100
995.4685001,540,100
995.5626001,540,100
995.6564002,540,100
995.7536001,540,100
995.8484001,540,100
995.9435,540,100
996.0796001,540,100
996.1743002,540,100
996.2684002,540,100
996.3614001,540,100
996.4594002,540,100
996.5534,540,100
996.6465001,540,100
996.7404001,540,100
996.8355,540,100
996.9293001,540,100
997.0254002,540,100
997.1613002,540,100
997.2544,540,100
997.3503001,540,100
997.4503002,540,100
997.5433002,540,100
997.6385002,540,100
997.7393,540,100
997.8413,540,100
997.9423001,540,100
998.0425,540,100
998.1413002,540,100
998.2793002,540,100
998.3725002,540,100
998.4674001,540,100
998.5613,540,100
998.6583002,540,100
998.7563002,540,100
998.8513,540,100
998.9453001,540,100
999.0404,540,100
999.1392002,540,100
999.2343001,540,100
999.3703001,540,100
999.4663,540,100
999.5582001,540,100
999.6532001,540,100
999.7502,540,100
999.8442001,540,100
999.9382,540,100
1000.0312,540,100
1000.1223,540,100
1000.2152,540,100
1000.3132,540,100
1000.4552,540,100
1000.5482,540,100
1000.6412,540,100
1000.7334,540,100
1000.8342,540,100
1000.9352,540,100
1001.0313,540,100
1001.1273,540,100
1001.2262,540,100
1001.3222,540,100
1001.4202,540,100
1001.5613,540,100
1001.6572,540,100
1001.7532,540,100
1001.8462,540,100
1001.9394,540,100
1002.0381,540,100
1002.1333,540,100
1002.2273,540,100
1002.3213,540,100
1002.4141,540,100
1002.5081,540,100
1002.6431,540,100
1002.7401,540,100
1002.8332,540,100
1002.9271,540,100
1003.0211,540,100
1003.1201,540,100
1003.2141,540,100
1003.3131,540,100
1003.4071,540,100
1003.5002,540,100
1003.5961,540,100
1003.7322,540,100
1003.829,540,100
1003.9231,540,100
1004.0161,540,100
1004.108,540,100
1004.2031,540,100
1004.3003,540,100
1004.3952,540,100
1004.491,540,100
1004.5852,540,100
1004.678,540,100
1004.818,540,100
1004.9181,540,100
1005.014,540,100
1005.114,540,100
1005.209,540,100
1005.306,540,100
1005.4021,540,100
1005.497,540,100
1005.596,540,100
1005.695,540,100
1005.7921,540,100
1005.929,540,100
1006.0271,540,100
1006.121,540,100
1006.216,540,100
1006.309,540,100
1006.4029,540,100
1006.497,540,100
1006.5919,540,100
1006.6879,540,100
1006.7829,540,100
1006.8769,540,100
1007.0141,540,100
1007.1099,540,100
1007.207,540,100
1007.3009,540,100
1007.3939,540,100
1007.4869,540,100
1007.5799,540,100
1007.6759,540,100
1007.7699,540,100
1007.8649,540,100
1007.958,540,100
1008.095,540,100
1008.1899,540,100
1008.2849,540,100
1008.3828,540,100
1008.478,540,100
1008.5709,540,100
1008.6659,540,100
1008.7598,540,100
1008.8538,540,100
1008.9498,540,100
1009.0439,540,100
1009.1808,540,100
1009.2768,540,100
1009.3718,540,100
1009.4708,540,100
1009.5678,540,100
1009.6628,540,100
1009.756,540,100
1009.8488,540,100
1009.9418,540,100
1010.0408,540,100
1010.136,540,100
1010.2748,540,100
1010.3679,540,100
1010.461,540,100
1010.5558,540,100
1010.6518,540,100
1010.7468,540,100
1010.8399,540,100
1010.9358,540,100
1011.0288,540,100
1011.1267,540,100
1011.2198,540,100
1011.3577,540,100
1011.4507,540,100
1011.5447,540,100
1011.6407,540,100
1011.7367,540,100
1011.8307,540,100
1011.9257,540,100
1012.0188,540,100
1012.1117,540,100
1012.2058,540,100
1012.2988,540,100
1012.4348,540,100
1012.5307,540,100
1012.6258,540,100
1012.7227,540,100
1012.8177,540,100
1012.9107,540,100
1013.0047,540,100
1013.0987,540,100
1013.1937,540,100
1013.2867,540,100
1013.3867,540,100
1013.5278,540,100
1013.6257,540,100
1013.7248,540,100
1013.8256,540,100
1013.9268,540,100
1014.0276,540,100
1014.1236,540,100
1014.2196,540,100
1014.3126,540,100
1014.4056,540,100
1014.5006,540,100
1014.6426,540,100
1014.7357,540,100
